PHENO,PC1_COSSIM,PC1_ABS_COSSIM,PC1_PEARSON,PC1_ABS_PEARSON,PC1_SPEARMAN,PC1_ABS_SPEARMAN,PC1_COSSIM_ABS_RANK,PC1_PEARSON_ABS_RANK,PC1_SPEARMAN_ABS_RANK,EVENNESS_COSSIM,EVENNESS_PEARSON,EVENNESS_SPEARMAN,R2_PHENO_PCS,ADJ_R2_PHENO_PCS,LinearModel_NUM_SIG_VARS
Age_at_first_live_birth,-0.01783079239295194,0.01783079239295194,0.012031477502982042,0.012031477502982042,0.010924695786431545,0.010924695786431545,38,24,24,3.347836357521682,3.355227534904184,3.366310625236204,0.007733420068330755,0.007357080399272076,13
Age_at_last_live_birth,8.187350911736832e-4,8.187350911736832e-4,0.0015704775585755595,0.0015704775585755595,-5.126528616529922e-4,5.126528616529922e-4,5,5,2,3.2493845990462313,3.262072026665306,3.299963223298123,0.005356866301534404,0.004979625270406185,9
Age_first_had_sexual_intercourse,-0.007041052723040631,0.007041052723040631,-0.004923873211378553,0.004923873211378553,-0.004725265140800092,0.004725265140800092,25,18,16,3.3520348620302207,3.324824423343123,3.346175724976918,0.0034893886473026936,0.003338856638049892,14
Age_started_wearing_glasses_or_contact_lenses,-0.004532228487010457,0.004532228487010457,-0.009120122513179594,0.009120122513179594,-0.009615031279471201,0.009615031279471201,29,37,38,3.4074162527283316,3.393725667607855,3.388157760033742,6.99009061673065e-4,5.433934844122357e-4,3
Alanine_aminotransferase,-0.0031921351513653565,0.0031921351513653565,-0.01117062628261808,0.01117062628261808,-0.010967786475144214,0.010967786475144214,24,38,38,3.167665354969776,3.193608663435859,3.21300761849648,0.0011048125772261212,9.595720746583547e-4,4
Albumin,-0.007195371971908926,0.007195371971908926,0.008554466573416072,0.008554466573416072,0.0074720692728439215,0.0074720692728439215,34,34,33,3.011207716202661,3.013063087389804,3.050431827361086,0.00204955705030137,0.001891168559756684,5
Alkaline_phosphatase,0.0034597054283184,0.0034597054283184,-0.006706837394040546,0.006706837394040546,-0.004267756563602519,0.004267756563602519,24,30,27,3.264421478193311,3.26171365114453,3.289590718469384,0.0012651083460520785,0.0011199544672922945,7
Ankle_spacing_width_left,-0.0012871012833316974,0.0012871012833316974,-0.0043125839915874615,0.0043125839915874615,-0.003060719805205583,0.003060719805205583,12,18,15,3.3819192986605904,3.3734141292992232,3.357658624232179,0.0023906412703445026,0.001955222655792954,6
Ankle_spacing_width,-0.0019677477808046568,0.0019677477808046568,-0.002284906504271584,0.002284906504271584,-5.285212073361579e-4,5.285212073361579e-4,14,14,3,3.3070973085353375,3.3008983145609028,3.249202253493573,0.0022138048021993137,0.0019720037019387293,8
Ankle_spacing_width_right,-0.0031760325647632263,0.0031760325647632263,-0.003987077622748293,0.003987077622748293,-0.003165002684855566,0.003165002684855566,25,20,14,3.4290875618704915,3.384475489298218,3.4056863096754144,0.001890413403178756,0.0014546671007888978,4
Apolipoprotein_A,-0.014285775609097901,0.014285775609097901,0.007286407582595563,0.007286407582595563,0.0083766573152112209,0.0083766573152112209,39,30,32,3.3093038644885726,3.3074606726664846,3.328371994333229,0.0011393522112484028,9.798815158352792e-4,5
Apolipoprotein_B,-0.008175182326744475,0.008175182326744475,-0.004871208222744074,0.004871208222744074,-0.0039098126270171,0.0039098126270171,37,31,28,3.344885057502864,3.292219920643777,3.2901723080793723,6.539645381589146e-4,5.079941624464013e-4,4
Arm_fat_free_mass_left,-0.02169680859459198,0.02169680859459198,0.005444945851471681,0.005444945851471681,0.005092001481387615,0.005092001481387615,39,32,31,3.1893062385529203,3.120533716469503,3.178907869152438,0.0018750834564515593,0.0017342480860051968,5
Arm_fat_free_mass_right,-0.023312012302670368,0.023312012302670368,0.006653907274566315,0.006653907274566315,0.006337810667881055,0.006337810667881055,39,33,33,3.156045584350981,3.0715771575771598,3.126488739234701,0.002051048998702985,0.0019102657706800974,5
Arm_fat_mass_left,0.004878199915753832,0.004878199915753832,-0.008791592354672981,0.008791592354672981,-0.009295972775170415,0.009295972775170415,22,31,33,3.2823433072897656,3.2887896485790953,3.213414039057262,0.002189852447830548,0.0020490639744271677,13
Arm_fat_mass_right,0.005236356856711205,0.005236356856711205,-0.009553816281252195,0.009553816281252195,-0.009713358931789182,0.009713358931789182,23,33,33,3.2696534736944054,3.2728730984108,3.1901335708877636,0.0021886508125173445,0.0020478884856642843,11
Arm_fat_percentage_left,0.016532660187922408,0.016532660187922408,-0.01010230801771603,0.01010230801771603,-0.010909927237582448,0.010909927237582448,37,34,35,3.0663890732830725,3.0283983726242765,3.025062812201264,0.002643355462953598,0.0025026448754060793,10
Arm_fat_percentage_right,0.017091506441704197,0.017091506441704197,-0.011088221753491282,0.011088221753491282,-0.011623216674725647,0.011623216674725647,37,34,35,3.0460225915819112,3.0014694769412076,3.007789321711679,0.002801295874035419,0.002660629399571013,10
Arm_predicted_mass_left,-0.02128223960301834,0.02128223960301834,0.005246703268821364,0.005246703268821364,0.005131386202612664,0.005131386202612664,39,32,32,3.1985773739237424,3.1359604173603772,3.179861746738126,0.0018615271276800833,0.001720683385697086,5
Arm_predicted_mass_right,-0.023451708476816047,0.023451708476816047,0.006813900058958815,0.006813900058958815,0.006269297889860706,0.006269297889860706,39,33,33,3.1633127590088845,3.094551148835102,3.1540585050018435,0.0020183499070699214,0.0018775590868436165,5
Aspartate_aminotransferase,-0.0015047573903244186,0.0015047573903244186,-0.01213147771694214,0.01213147771694214,-0.011335544560286466,0.011335544560286466,14,38,37,3.1955367403482136,3.197610103573492,3.2640889305459773,9.471844073523397e-4,8.014463186095666e-4,5
Basal_metabolic_rate,-0.02080373991335378,0.02080373991335378,0.007166438425303609,0.007166438425303609,0.006669863923432163,0.006669863923432163,39,33,33,3.1770380528913504,3.0753912314369054,3.1843265352106935,0.0019127400814935914,0.0017719725905931405,5
Basophill_percentage,-3.996236786172232e-4,3.996236786172232e-4,-0.005083599960808445,0.005083599960808445,-0.004601527087711713,0.004601527087711713,5,34,32,3.184814652667984,3.2258710057236093,3.213296778140844,5.108708821463508e-4,3.6790137108477783e-4,0
Birth_weight,-0.009055834813592878,0.009055834813592878,-0.00716652821252367,0.00716652821252367,-0.006407858131037991,0.006407858131037991,38,36,35,3.2580962774158184,3.303931813525433,3.368716687251198,7.747126915993315e-4,5.312011432958563e-4,1
Birth_weight_of_first_child,-0.023023726567216827,0.023023726567216827,-0.0050680075911316265,0.0050680075911316265,-0.004854434305696721,0.004854434305696721,40,30,27,3.0885142837052717,3.2609008248091604,3.2011041687940693,0.0014184783085146547,0.0011011660995245975,3
Body_fat_percentage,0.011408957892279775,0.011408957892279775,-0.012425472204957476,0.012425472204957476,-0.012275582652326927,0.012275582652326927,33,35,34,3.0989991979305835,3.066066588228088,3.088949575009084,0.00298108242215801,0.002840386730077027,10
Body_mass_index_BMI,0.006403231814207772,0.006403231814207772,-0.01320463599945366,0.01320463599945366,-0.01316206713569477,0.01316206713569477,21,35,35,3.32902331840753,3.3213085127296305,3.2682924127691564,0.0031832186200147355,0.0030446313327121555,17
Calcium,1.6835685227041544e-4,1.6835685227041544e-4,0.01016158316402893,0.01016158316402893,0.010371703276323273,0.010371703276323273,1,34,33,3.100903492360614,3.1366673420639204,3.1450045091628835,0.0027988078668820513,0.002640477354375226,8
Cholesterol,-0.014858088023857526,0.014858088023857526,-1.7223947933367415e-4,1.7223947933367415e-4,0.0013035997497830732,0.0013035997497830732,38,3,12,3.1884671235690383,3.115194221240665,3.173360158274563,0.0012530733756090302,0.0011079119459190823,7
C_reactive_protein,0.002400716525792742,0.002400716525792742,-0.010749218700869555,0.010749218700869555,-0.010432080286692177,0.010432080286692177,15,33,34,3.228387405545394,3.224850834521001,3.208407835378202,0.0024749664926467427,0.00232967064152112,11
Creatinine_enzymatic_in_urine,0.009237956441303336,0.009237956441303336,-0.006329638213633831,0.006329638213633831,-0.006669173150299284,0.006669173150299284,35,33,33,3.1723510240069976,3.089688302287189,3.105896801859379,0.0013537641243739234,0.001211304907125177,6
Creatinine,-0.004213832077473149,0.004213832077473149,0.005147985748247433,0.005147985748247433,0.006923252404697287,0.006923252404697287,28,31,35,3.063683609893275,3.032865074863175,3.0697344414844916,0.001898201744055189,0.0017530644668820594,2
Cystatin_C,-0.008419695547272128,0.008419695547272128,-0.0016703642226727792,0.0016703642226727792,3.111226328910822e-5,3.111226328910822e-5,32,14,1,3.3386116025725396,3.3144695518821,3.2896763043833412,0.0013115859233104315,0.0011664282510523982,7
Diastolic_blood_pressure_automated_reading,0.00130187953710221,0.00130187953710221,-8.560956726687045e-4,8.560956726687045e-4,-2.39284130959383e-4,2.39284130959383e-4,14,8,5,3.2250346627106836,3.248801313093743,3.176901001064257,0.0016567502019886667,0.001505019386024653,9
Direct_bilirubin,-0.0022208741129779255,0.0022208741129779255,6.688823079420634e-4,6.688823079420634e-4,-5.619827365059544e-4,5.619827365059544e-4,24,7,3,3.3988005084371067,3.3983949593511777,3.4494688132191214,3.846090523745788e-4,2.1381126660358074e-4,0
Eosinophill_count,-2.1649186307087765e-4,2.1649186307087765e-4,-0.00857189699718356,0.00857189699718356,-0.008680321722050117,0.008680321722050117,1,37,37,3.1110135236221925,3.1319337797202946,3.106500735731745,0.0012378435502495085,0.001094976494533828,2
Forced_expiratory_volume_in_1_second_FEV1,-0.04599085010789642,0.04599085010789642,0.009753808306375927,0.009753808306375927,0.008391243508208825,0.008391243508208825,40,33,34,2.968362399694172,3.1834221980045494,3.2098342923550907,0.0019438849465571477,0.0017921262695731466,8
Forced_vital_capacity_FVC,-0.051707595246908926,0.051707595246908926,0.009555641165228257,0.009555641165228257,0.008654246317418523,0.008654246317418523,40,31,30,2.8899292595575323,3.155887970583283,3.218971518681759,0.0021740864114243464,0.0020223627375520747,10
Gamma_glutamyltransferase,0.0016061467732333475,0.0016061467732333475,-0.014726364591599702,0.014726364591599702,-0.013864941185874785,0.013864941185874785,15,36,34,3.101145078474587,3.1138653554809728,3.123516129689177,0.002368661139953303,0.0022235885821249024,8
Glucose,-0.0013565664248539396,0.0013565664248539396,0.00358554905071541,0.00358554905071541,0.0044894417979592025,0.0044894417979592025,9,27,29,3.360810666967247,3.3336068321595205,3.287600199266947,7.81901174653527e-4,6.231363624086272e-4,5
Glycated_haemoglobin_HbA1c,0.029563788196886515,0.029563788196886515,9.303900474803505e-4,9.303900474803505e-4,0.0019184716860776647,0.0019184716860776647,40,7,15,3.1276623687615,3.292579334087652,3.2448314380135455,0.001031121628813613,8.859126386041583e-4,6
Haematocrit_percentage,-0.016246751272844223,0.016246751272844223,3.451117627088516e-4,3.451117627088516e-4,0.002132569406388775,0.002132569406388775,39,5,18,3.2898122522707443,3.2390415191984463,3.234323677416921,8.334863556349883e-4,6.908119761767084e-4,5
Haemoglobin_concentration,-0.024731214283851267,0.024731214283851267,-0.0016832275803351558,0.0016832275803351558,4.3530837003203385e-5,4.3530837003203385e-5,40,16,2,3.2049754583916115,3.3434623361878497,3.310379040019093,6.568979949586385e-4,5.141978904328326e-4,5
Hand_grip_strength_left,-0.020534251100209917,0.020534251100209917,0.00203369814235398,0.00203369814235398,0.001631868376835063,0.001631868376835063,39,17,13,3.2132399389902293,3.189350980520406,3.2278285433834615,0.0015806799725749051,0.0014417689753155605,7
Hand_grip_strength_right,-0.02310378193308852,0.02310378193308852,0.0020328931480041827,0.0020328931480041827,0.0018350275395730346,0.0018350275395730346,39,17,13,3.1681940877073504,3.1517063526505393,3.2415683548334653,0.0016912446293388026,0.0015523591597547126,6
HDL_cholesterol,-0.011439947727395032,0.011439947727395032,0.007600523727603908,0.007600523727603908,0.007516115781608423,0.007516115781608423,38,28,29,3.3918581892138717,3.3552211967705667,3.3864250592709557,0.00138543158953266,0.0012268754096218526,8
Heel_bone_mineral_density_BMD_left,0.019494829958592648,0.019494829958592648,-0.0019367151670140405,0.0019367151670140405,-0.0035211336299648564,0.0035211336299648564,40,8,14,3.3021933396567458,3.4363307327938437,3.381424424174371,0.001994902363755514,0.0015590304178958458,4
Heel_bone_mineral_density_BMD,0.008117138279813366,0.008117138279813366,3.6383795844026795e-4,3.6383795844026795e-4,-0.001304583918063,0.001304583918063,36,3,6,3.361468344800279,3.3007626130312246,3.311681013232178,0.0014059938351528444,0.0011638854952233935,3
Heel_bone_mineral_density_BMD_right,0.018719585960470592,0.018719585960470592,-0.002448500892233411,0.002448500892233411,-0.003958297124301081,0.003958297124301081,40,10,19,3.2873501402333214,3.4128459938371467,3.4199241874566715,0.00182956838391836,0.0013935623421964527,4
Heel_bone_mineral_density_BMD_T_score_automated_left,0.019542071849985528,0.019542071849985528,-0.002024511469131812,0.002024511469131812,-0.003539293614705516,0.003539293614705516,40,8,14,3.2887880505451768,3.4275616827988737,3.3766040921361933,0.002007002011734161,0.0015714159532096428,5
Heel_bone_mineral_density_BMD_T_score_automated,0.00803336896414196,0.00803336896414196,3.9185373383114944e-4,3.9185373383114944e-4,-0.0012943611050129935,0.0012943611050129935,36,3,6,3.355624099582388,3.2917761736375777,3.307796053289117,0.0013915057198327562,0.0011495053455955473,3
Heel_bone_mineral_density_BMD_T_score_automated_right,0.018488977474214133,0.018488977474214133,-0.00203229859666762,0.00203229859666762,-0.003750851915167897,0.003750851915167897,40,9,19,3.279213673426623,3.4019864909852235,3.412625294077595,0.0018453810715892303,0.0014096151093622167,4
Heel_Broadband_ultrasound_attenuation_direct_entry,0.006421729761126716,0.006421729761126716,0.0016271780338085594,0.0016271780338085594,1.9171467678643045e-4,1.9171467678643045e-4,34,12,4,3.391002211662555,3.312132084088175,3.3294039749526814,0.0012821378498945458,0.0010400948412787603,3
Heel_broadband_ultrasound_attenuation_left,0.014592334670920625,0.014592334670920625,-0.004468180808148913,0.004468180808148913,-0.005899146046954463,0.005899146046954463,40,18,22,3.35921365733824,3.4585560629668555,3.449121824612241,0.0016291324125506008,0.00119336716366647,3
Heel_broadband_ultrasound_attenuation_right,0.014171861202945174,0.014171861202945174,-0.004300763367205672,0.004300763367205672,-0.0054817115005713615,0.0054817115005713615,40,22,25,3.368528592871342,3.451160995285909,3.4550345832324827,0.0013500011601744952,9.139951356640363e-4,2
Heel_quantitative_ultrasound_index_QUI_direct_entry_left,0.01954274088661395,0.01954274088661395,-0.002023121195451374,0.002023121195451374,-0.003538405637749259,0.003538405637749259,40,8,14,3.28870254394007,3.427497070539541,3.3764925287387215,0.002006895939043143,0.0015713098342219345,5
Heel_quantitative_ultrasound_index_QUI_direct_entry,0.00803350467237756,0.00803350467237756,3.917799526936646e-4,3.917799526936646e-4,-0.0012947826996723138,0.0012947826996723138,36,3,6,3.355801235856249,3.291810954264556,3.3078855910194904,0.001391797017079068,0.0011497967134340703,3
Heel_quantitative_ultrasound_index_QUI_direct_entry_right,0.01848995207594118,0.01848995207594118,-0.0020363111780522984,0.0020363111780522984,-0.0037550756108246704,0.0037550756108246704,40,9,19,3.2791931571860196,3.4019534464428807,3.4125705863468245,0.0018455501990362751,0.0014097843106455343,4
High_light_scatter_reticulocyte_count,0.01405330112193713,0.01405330112193713,-0.00871783331468954,0.00871783331468954,-0.009536143603959307,0.009536143603959307,37,35,35,3.1675083548947613,3.1810252083056914,3.154769853745183,0.001398343051106334,0.001253364986958161,4
High_light_scatter_reticulocyte_percentage,0.011620102707555171,0.011620102707555171,-0.010399976515484261,0.010399976515484261,-0.01133851989596979,0.01133851989596979,35,35,36,3.089739123688724,3.0480401278129934,3.035934560273952,0.002008619509784439,0.0018637300462298612,6
Hip_circumference,-0.004316801143866161,0.004316801143866161,0.007699770133011432,0.007699770133011432,0.008212286116584292,0.008212286116584292,25,31,32,3.2785816762793436,3.2779015145658232,3.3000196960589823,0.0017179982570607666,0.0015794196742104916,10
IGF_1,0.0013493291123204475,0.0013493291123204475,0.012145584041424368,0.012145584041424368,0.011493677906813873,0.011493677906813873,10,36,36,2.9862740728920834,3.0118461926960056,3.0705420326795094,0.002439981427441502,0.0022942176355355004,7
Immature_reticulocyte_fraction,0.01610269134164219,0.01610269134164219,-0.017838869857043485,0.017838869857043485,-0.018246016652988764,0.018246016652988764,35,36,35,3.019724705379844,2.9230065639021943,2.9205776885120773,0.004532746654463397,0.004388223121854384,6
Impedance_of_arm_left,0.01089330549470983,0.01089330549470983,-8.95455648413916e-4,8.95455648413916e-4,-0.0019325620063671055,0.0019325620063671055,36,7,18,3.2975675524623864,3.225978654439284,3.2476858688428454,0.00116199000125832,0.001021109175582624,4
