PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,PC1_ABS_COSSIM,PC1_ABS_PEARSON,PC1_ABS_SPEARMAN,PC1_COSSIM_ABS_RANK,PC1_PEARSON_ABS_RANK,PC1_SPEARMAN_ABS_RANK,EVENNESS_COSSIM,EVENNESS_PEARSON,EVENNESS_SPEARMAN,R2_PHENO_PCS,ADJ_R2_PHENO_PCS,LinearModel_NUM_SIG_VARS
Alanine_aminotransferase,1,1,1,0.98,0.8,0.98,0.8,0.21,0.05,0.77,0.65,0.10543083203035586,0.01465777860275463,0.01353394816888618,40,38,38,2.776132776046032,3.339012522073607,3.3532925237586086,0.00186208549814599,0.00172378513623128,15
Albumin,0.99,0.97,0.58,0.44,0.99,0.44,0.99,0.24,0.17,0.04,0.04,0.9363770149976672,7.970872381161181e-4,0.00175625017311011,40,4,9,1.9719015606578427,3.335394294066132,3.3638290103642805,0.001947266928387,0.00180897836907234,14
Alkaline_phosphatase,1,1,0,0.35,0.93,0.35,0.93,0.93,0.77,0.92,0.24,0.9027659767000462,0.00553314141993694,0.00375083305274678,40,32,28,1.9817706502411112,3.172667419815903,3.3153486105402723,0.00155085871871093,0.00141251523372121,6
Ankle_spacing_width,1,0.99,0,0.56,0.63,0.55,0.63,0.49,0.67,0.03,0.06,0.5460669695586485,0.00808460743699183,0.00683815655815102,40,28,25,2.12037167624482,3.3165036035694304,3.262585716431898,0.0024637454999408,0.00232552850305489,14
Ankle_spacing_width_left,0.99,0.99,0.98,0.17,0.63,0.17,0.63,0.81,0.79,0.59,0.63,0.12831848922138872,0.00770510848427027,0.00787891735159429,40,29,30,2.7289773504738317,3.2868707161411383,3.284971932343835,0.00257586353458723,0.00243766207259343,10
Ankle_spacing_width_right,0.95,0.95,0.24,0.45,0.96,0.45,0.96,0.87,0.74,0.24,0.16,0.5494898532852374,0.00517465564162517,0.00593447201086567,40,21,28,2.188520809577956,3.279254378957907,3.260700791012972,0.00350217958650291,0.00336410647335083,12
Apolipoprotein_A,0.98,0.97,0.17,0.65,0.7,0.65,0.7,0,0,0,0,0.8047557649568574,0.01928321656883029,0.01936897030458022,40,37,37,2.014673455947285,3.0718615179106643,3.109739832240217,0.00203378481389354,0.00189550824235595,5
Apolipoprotein_B,1,1,0,0.79,0,0.79,0,0.16,0.13,0.16,0.04,0.48031821984238326,0.00406964188188085,0.00375252462226608,40,21,22,2.1216728636442457,3.4360213402322324,3.447015542449628,9.35161218512574e-4,7.967324234811057e-4,7
Arm_fat_free_mass_left,1,0.99,0,0.26,0,0.27,0,0.35,0.29,0.33,0.19,0.6029403786816261,0.00280172691769631,0.00258730388817418,40,14,12,2.135124258781951,3.3672240046077193,3.404367826186156,0.00247823092400925,0.00234001593420007,18
Arm_fat_free_mass_right,1,1,0,0.63,0,0.63,0,0.87,0.7,0.75,0.79,0.8564789217245695,0.00126401832787132,0.00134586998996582,40,7,8,2.034586694778927,3.349542169898001,3.3499850070505963,0.00262151688833503,0.00248332175199539,17
Arm_fat_mass_left,1,1,0,1,0.14,1,0.14,0.78,0.92,0.89,0.87,0.9486008792405742,0.0030764477608619,0.00268566308258627,40,18,17,1.9586611588795872,3.2720887402771757,3.280335922840813,0.00231499862560375,0.00217676101859354,12
Arm_fat_mass_right,1,1,0,0.78,0,0.78,0,0.74,0.7,0.42,0.18,0.8941605452774911,0.00490837565285785,0.00480560774946314,40,25,25,1.9672143842088112,3.308096549445579,3.3116675571214933,0.00224242220006746,0.00210417453698597,14
Arm_fat_percentage_left,0.97,0.94,0.37,0.31,0.54,0.31,0.54,0.87,0.89,0.71,0.4,0.9447882562572671,0.00753047047847162,0.00661146391729956,40,31,26,1.9480351253051216,3.4091768154488538,3.423233142366357,0.00128939072626727,0.00115101101269887,11
Arm_fat_percentage_right,0.9,0.89,0.86,0.16,0.72,0.16,0.72,0.13,0.16,0.22,0.21,0.9596013663255056,0.00883676354679138,0.00816739705924205,40,30,30,1.9462115489103269,3.339093311780497,3.3457579967000655,0.00222678140700622,0.00208853157676203,15
Arm_predicted_mass_left,0.99,0.87,0,0.53,0.52,0.53,0.52,0.33,0.36,0,0,0.8267384819058995,0.00193923362329115,0.00133418355887531,40,10,6,2.0384296237676938,3.372805200875216,3.373961600894475,0.00233078674745958,0.00219255132802576,17
Arm_predicted_mass_right,1,1,0,0.65,0.37,0.65,0.37,0.26,0.25,0.48,0.2,0.780655453213564,0.00249876572210129,0.00248060603857417,40,13,12,2.0668237168097723,3.322912622675509,3.3773980704392517,0.00254760938538935,0.00240940400854661,20
Aspartate_aminotransferase,0.99,0.99,0.15,0.94,0.04,0.94,0.04,0.93,0.92,0.6,0.66,0.33229661940533767,0.00575851551728749,0.00616417233475006,40,26,28,2.255145412240887,3.3715193594578827,3.396564284368667,0.00160254459135136,0.00146420826787174,10
Basal_metabolic_rate,1,1,0.34,0.12,0.2,0.12,0.2,0.38,0.16,0.1,0,0.850805658291332,0.00352931828511681,0.00365063537486591,40,18,19,2.028348059992461,3.294215082293238,3.2737137079387626,0.00310029115453895,0.00296216235638102,17
Birth_weight,0.96,0.96,0.41,0.77,0.17,0.75,0.17,0.6,0.65,0.62,0.51,0.5307517727426265,0.00891466594308755,0.00822846427014687,40,32,32,2.1693640902040072,3.186800369244032,3.2514331521940205,0.00423385120073638,0.00409587946681011,13
Body_fat_percentage,0.97,0.86,0.35,0.59,0.33,0.59,0.33,0.89,0.88,0.89,0.72,0.9211218472277108,0.00658531630594866,0.00531270840725548,40,23,23,1.955932774681652,3.4115678490353543,3.379567638566699,0.00244707523006065,0.00230885592336937,16
Body_mass_index_BMI,0.95,0.96,0,0.62,0.16,0.62,0.16,0.91,0.79,0.81,0.58,0.9402177081057048,0.0145182395594171,0.01315388456881728,40,36,37,1.9628715167494457,3.394294671030072,3.4163050712821588,0.00256232597124798,0.00242412263351143,18
C_reactive_protein,0.99,0.99,0,0.52,0.67,0.52,0.67,0.42,0.15,0.23,0.81,0.6457955090596141,0.00237435436818226,0.00147850176932171,40,12,11,2.061400954960968,3.3581932451277803,3.3789109375641475,0.0019252125766788,0.00178692096154908,14
Calcium,1,1,0.36,0.01,0.82,0.01,0.82,0.86,0.84,0.42,0.26,0.1531113136969784,0.00990969989425558,0.00879372705435537,40,33,32,2.559200086107822,3.2368508669095397,3.184223675838661,0.00251324838984449,0.00237503825199825,10
Cholesterol,1,1,0.42,0.81,0,0.81,0,0.68,0.43,0.51,0.41,0.7013056546672692,0.00291934820492977,0.00208160047000172,40,15,13,2.0388600480304837,3.3296488900428183,3.37447104108021,0.00124537719977695,0.00110699138776593,9
Creatinine,1,1,0.15,0.77,0.29,0.77,0.29,0.95,0.88,0.98,0.92,0.9563171740916838,0.00225537021992293,0.00221852599270568,40,15,17,1.953399639933228,3.4052746805602077,3.373708407816822,9.390863837087672e-4,8.006581325417095e-4,7
Cystatin_C,0.99,0.99,0,0.7,0.1,0.69,0.1,0.94,0.85,0.98,0.86,0.7140418839796504,0.00281380368717788,0.00394971619673419,40,18,26,2.002179915531627,3.293948718315462,3.323592125276959,0.00105591495814084,9.175028945506148e-4,8
Diastolic_blood_pressure_automated_reading,0.99,1,0,0.76,0.23,0.76,0.23,0.4,0.17,0.71,0.25,0.8785816404198286,0.00186287852164561,0.00319362385839536,40,9,19,1.9768464361004845,3.321426543666464,3.337909860973956,0.00165203255544322,0.00151370308893528,12
Eosinophill_count,1,1,0,0.81,0.48,0.81,0.48,0.46,0.76,0.31,0.09,0.6731710300332011,0.00163025881024934,0.00189061332045924,40,17,15,2.0043764594589053,3.3325195546617614,3.3789289746570885,6.492980763916388e-4,5.108296726293871e-4,6
Forced_expiratory_volume_in_1_second_FEV1,1,1,1,0.98,0.53,0.98,0.53,0.54,0.35,0.18,0.04,0.40397294221095337,0.00322740437173115,0.00214217753717402,40,17,11,2.167222053728663,3.266050723576613,3.2914589736876594,0.00211023930163399,0.00197197332350573,13
Forced_vital_capacity_FVC,0.95,0.96,0.29,0,0.83,0,0.83,0.2,0.36,0.16,0.17,0.5667349596312158,2.232714804769061e-4,8.271863248008955e-4,40,1,8,2.107848297502411,3.241364619964098,3.2640082171851335,0.00251565549223059,0.00237744568790854,15
Gamma_glutamyltransferase,0.97,0.97,0.09,0,0.08,0,0.08,0.57,0.81,0.3,0.02,0.6242699304731048,0.00328716891493562,0.00358589513268506,40,17,17,2.0437352674841303,3.4226881484648906,3.4294158928889833,0.00152238400133662,0.00138403657093644,13
Glycated_haemoglobin_HbA1c,1,1,0,1,0.04,1,0.04,0.87,0.57,0.75,0.77,0.8407247146080372,0.00725800731064529,0.0063653073394746296,40,31,30,1.9874236314924345,3.37607733095342,3.445236776474062,0.00140464014206057,0.00126627639726317,10
Haematocrit_percentage,1,1,0.85,0.86,0.37,0.86,0.37,0.08,0.11,0.04,0.07,0.2927636999934004,4.0919026654030223e-4,0.00115085068005773,40,4,11,2.13697204954552,3.190307528207231,3.1862334360265816,0.00110588987250334,9.67484733355839e-4,5
Haemoglobin_concentration,1,1,0.16,0.86,0.45,0.86,0.45,0.91,0.96,0.8,0.93,0.39880410611113715,0.00802854959838946,0.00562407792386297,40,31,29,2.126746598007656,3.217900577808712,3.1612267217897108,0.00171618781847422,0.001577867241215,9
HDL_cholesterol,0.77,0.8,0,0.38,0.79,0.37,0.79,0.28,0.16,0.62,0.84,0.9285721075600468,0.0083307836844276,0.0083085042786772,40,35,36,1.9617868313908773,3.3482357969084435,3.306925214565048,8.375345728842121e-4,6.99092250863842e-4,7
Heel_bone_mineral_density_BMD,1,1,0.39,0.99,0.62,0.99,0.64,1,0.72,0.95,0.78,0.8865994535171562,0.00171243421794731,0.00177650850895323,40,12,16,1.989408915447917,3.373473108483186,3.325946895354574,0.0010819235290424,9.435150691573524e-4,10
Heel_bone_mineral_density_BMD_left,0.99,0.99,0.66,0.4,0.59,0.38,0.59,0.03,0.05,0.07,0.08,0.10107990086918332,0.00214630948681163,0.00152996101036909,40,14,12,2.803934640902937,3.3895561897015556,3.3651718743405876,0.00136629794158729,0.00122792888415712,12
Heel_bone_mineral_density_BMD_right,0.97,0.97,0.05,0.86,0.09,0.86,0.09,0.74,0.67,0.2,0.17,0.34096037237639876,0.00109379049116426,0.00124214278385146,40,7,9,2.218614909946111,3.3631429794531305,3.3699051522153445,9.21561514439974e-4,7.831308350556565e-4,10
Heel_bone_mineral_density_BMD_T_score_automated,1,1,0.57,0.55,0.32,0.57,0.32,0.75,0.39,0.99,0.72,0.8913575549441156,0.00230351449405672,0.0027460330695718,40,15,17,1.9938410226301448,3.3845298038055858,3.384353837635586,0.00103111741568903,8.927019161918404e-4,9
Heel_bone_mineral_density_BMD_T_score_automated_left,0.97,0.95,0.41,0.53,0,0.54,0,0.05,0.15,0.01,0.03,0.23880098315741288,0.00203443343741023,0.00155527240285139,40,19,14,2.380502476940939,3.3011037732927138,3.229258985701542,0.00135583230841504,0.00121746180088389,14
Heel_bone_mineral_density_BMD_T_score_automated_right,0.94,0.94,0.14,0.06,0.94,0.06,0.94,0.55,0.83,0.25,0.41,0.4617293945202788,0.00281604968533847,0.00323200541046599,40,21,21,2.1408197439013192,3.3260286037737052,3.3232320974078737,0.00109238048005924,9.539734690722224e-4,9
Heel_Broadband_ultrasound_attenuation_direct_entry,1,1,0,0.81,0.99,0.78,0.99,0.3,0.3,0.18,0.46,0.8518738483063181,0.00357053166942798,0.00328554902892338,40,24,22,2.0284777008716617,3.31204428573094,3.28416133199765,0.00162719053236554,0.00148885762378747,12
Heel_broadband_ultrasound_attenuation_left,0.94,0.94,0.25,0.74,0,0.74,0,0.36,0.11,0.05,0.04,0.3662827163069777,0.00146517564104547,0.00172815092053488,40,12,13,2.2201155053608796,3.3508053458887517,3.38987926247641,0.00103772748862849,8.993129050122173e-4,10
Heel_broadband_ultrasound_attenuation_right,0.97,0.97,0.59,0.64,0.04,0.63,0.04,0.21,0.05,0.01,0,0.4988749191920192,0.0013317298408403,9.094470951883648e-4,40,11,9,2.110930012446626,3.373399509676666,3.311713222747768,9.640018240177152e-4,8.255770250934491e-4,10
Heel_quantitative_ultrasound_index_QUI_direct_entry,1,1,0.57,0.62,0.33,0.62,0.33,0.8,0.46,1,0.86,0.8913580525390213,0.00230293390082951,0.00274549068484641,40,15,17,1.9938420441598736,3.3845198183182523,3.384337197824827,0.00103113994408912,8.927244477133778e-4,9
Heel_quantitative_ultrasound_index_QUI_direct_entry_left,0.97,0.95,0.41,0.54,0,0.53,0,0.05,0.17,0,0.01,0.23883383117974444,0.00203429927833595,0.00155519097172369,40,19,14,2.3804425912412337,3.3010969583858563,3.2292685677751822,0.00135583004452256,0.00121745953667762,14
Heel_quantitative_ultrasound_index_QUI_direct_entry_right,0.94,0.94,0.14,0.06,0.94,0.06,0.94,0.55,0.76,0.25,0.41,0.461680988049746,0.00281592856274644,0.00323191879927732,40,21,21,2.140853461594868,3.326008175791611,3.323213666729669,0.00109239518621246,9.539881772632208e-4,9
High_light_scatter_reticulocyte_count,1,1,0.22,0.88,0.16,0.88,0.16,0.04,0.05,0.38,0.11,0.8936526724732625,0.00402288340885478,0.00466661673558031,40,23,29,1.9357862256613876,3.398709851519274,3.40661382289821,7.589541666931644e-4,6.205009566998543e-4,5
High_light_scatter_reticulocyte_percentage,1,1,0.97,0.87,0,0.87,0,0.55,0.58,0.11,0.19,0.8412191693155201,0.00383794887764558,0.00457667497026921,40,26,31,1.932134983133862,3.373021480886942,3.4166112718314436,6.336790882185152e-4,4.95208520314705e-4,4
Hip_circumference,1,1,0.62,0.94,0.05,0.94,0.05,0.02,0.18,0.05,0.29,0.8913757462973436,0.00787614501183912,0.00721302165059996,40,31,32,1.9844426893043825,3.3579585794350946,3.3610349564275257,0.00211250949446223,0.00197424383088806,9
IGF_1,1,1,0,0.8,0.39,0.8,0.39,0.23,0.16,0.01,0.09,0.8834877362254986,0.00281697953567565,0.00228854195082272,40,15,13,1.9536583529179363,3.392973182608956,3.403208399388527,0.00136486198053346,0.00122649272413888,13
Immature_reticulocyte_fraction,1,1,0,0.46,0.49,0.46,0.49,0.29,0.2,0.25,0.51,0.898643777049375,0.00245900240617705,0.00335516530318014,40,12,18,1.9417262971629576,3.366206216825487,3.3628740433088837,0.00105287045093344,9.144579655012696e-4,6
Impedance_of_arm_left,1,1,0.17,0.08,0.48,0.08,0.48,0.8,0.66,0.39,0.39,0.7172395829303702,0.00133809779438924,0.0027631574664513,40,9,16,2.0195929708444917,3.3114641749740383,3.3080209980731885,0.00192955086027233,0.00179125984624817,14
Impedance_of_arm_right,1,1,0,0.66,0.01,0.67,0.01,0.17,0.23,0.9,0.91,0.806258012149578,8.98388882853123e-4,7.73433075981988e-5,40,3,1,1.9928466308870325,3.308756283200041,3.261899659017281,0.00190124813407962,0.00176295319847596,12
Impedance_of_leg_left,1,1,0,0.99,0.57,0.99,0.57,0.57,0.34,0.22,0.51,0.7781399663273296,0.00235250683863434,0.00160123209604631,40,13,9,2.0215422930701052,3.314206949966141,3.3721945388460663,0.00187357411914252,0.00173527534907247,13
Impedance_of_leg_right,1,1,1,1,0.79,1,0.79,0.98,0.89,0.67,0.18,0.04269322082693053,0.00550788002897447,0.00386390015430878,40,26,23,3.1591242002847615,3.1970711062545263,3.1829672449403086,0.00295993516345518,0.00282178691779999,12
Impedance_of_whole_body,1,1,0.05,0.6,0.55,0.6,0.55,0.78,0.73,0.4,0.8,0.5423171305980486,0.00258451563515111,0.00282233647389991,40,15,16,2.1528379327498866,3.253693958092362,3.2629479536550052,0.002534858958361,0.00239665181483994,14
LDL_direct,1,1,0.06,0.09,0.43,0.09,0.43,0.96,0.94,0.8,0.25,0.5168852218541816,5.487610972117041e-4,5.889704627711106e-4,40,4,3,2.1357294140811156,3.4250642586151985,3.464229206868924,0.00104801628212127,9.096031241033752e-4,8
Leg_fat_free_mass_left,1,1,0.53,0.98,0.6,0.98,0.6,0.6,0.53,0.97,0.89,0.3697461328244042,0.00370588857069627,0.00369633125893007,40,16,17,2.3111712337257746,3.3414337703596964,3.3471750382163044,0.00277219293724548,0.00263401867833357,16
Leg_fat_free_mass_right,1,1,0.9,0.32,0.16,0.33,0.16,0.17,0.31,0.18,0.02,0.0975873223195488,0.0043172128989014,0.00427865781995934,40,21,22,2.8545957815640244,3.29867719514128,3.2758978799343597,0.00243464053782168,0.00229641950819969,13
Leg_fat_mass_left,1,1,0.8,0.87,0.08,0.88,0.08,0.48,0.61,0.72,0.96,0.953096554479684,0.00557099643341207,0.00516304505748256,40,22,21,1.9677024768576428,3.2799386784829863,3.26917497859377,0.00284535935099544,0.00270719522990248,15
Leg_fat_mass_right,1,1,0.34,0.78,0.01,0.78,0.01,0.44,0.61,0.09,0.26,0.9571747338719202,0.00537005816135779,0.00441534486037908,40,20,18,1.9609753228445024,3.3013368877106424,3.3294595663597373,0.00302797498116551,0.00288983616299653,17
Leg_fat_percentage_left,0,0,0,0.34,0,0.34,0,0.03,0.03,0.21,0.21,0.927752963922743,0.015989907047437132,0.0145568055420279,40,36,36,1.9669453157536163,3.219341890006823,3.1897930838740383,0.00308534850985152,0.00294721764126515,15
Leg_fat_percentage_right,1,1,0.72,0.05,0.41,0.05,0.41,0.09,0.01,0.41,0.55,0.3459680382354308,0.01350946823626897,0.0125101741057261,40,35,34,2.320710239994244,3.267094884849183,3.2462455831476342,0.00268953034869844,0.00255134463619299,15
Leg_predicted_mass_left,1,1,0.5,0.59,0.03,0.59,0.03,0.26,0.06,0.92,0.53,0.6541532181233937,0.00351270641671952,0.00361934722222566,40,17,17,2.1213578565932583,3.32321959078442,3.320850372957324,0.0025497203953473,0.00241151531100269,16
Leg_predicted_mass_right,1,1,0.9,0.8,0.05,0.8,0.05,0,0.05,0,0.13,0.39159667369722584,0.00511108207376058,0.00516592004356307,40,21,23,2.196113655881597,3.264146702318161,3.2407560661528967,0.00254380452490488,0.00240559862086697,13
Mean_corpuscular_haemoglobin,0.99,0.99,0.49,0.6,0.49,0.6,0.49,0,0,0,0,0.6028630703829081,0.0138411964752325,0.01191491969938602,40,36,36,2.0676815901928625,3.012752516797091,3.0525882851230977,0.00422123271554051,0.0040832592332175,8
Mean_corpuscular_haemoglobin_concentration,0.94,0.74,0,0.63,0.14,0.63,0.14,0.25,0.22,0.07,0.12,0.5591434204394079,0.01216100914707217,0.0110286768571029,40,36,36,2.0468233108432567,2.868440494041393,2.9275451992919144,0.00406895926311743,0.00393096468203324,5
Mean_corpuscular_volume,0.96,0.96,0,0.13,0,0.13,0,0.02,0.03,0,0.08,0.10669485357545344,0.01376065557594604,0.01262248946348782,40,36,35,2.7493872309660543,3.034059757700684,3.0809248756991976,0.00379197091249299,0.00365393795235446,12
Mean_sphered_cell_volume,1,1,0,0.64,0.94,0.64,0.94,0.49,0.49,0.38,0.73,0.5630285059549445,0.00657471709646332,0.00730585774044127,40,29,29,2.0844548259536944,3.205630273440367,3.2066063320559945,0.00169629693405455,0.00155797360074683,11
Mean_time_to_correctly_identify_matches,0.87,0.94,0,0.89,0.04,0.89,0.04,0.59,0.56,0.67,0.62,0.6499387598191699,0.00134089878666397,0.00247790942950684,40,8,19,2.0729738709463383,3.323751154129175,3.361448646225034,0.00123612461233532,0.001097737518301,10
Monocyte_count,1,1,0,0.98,0.21,0.98,0.21,0.22,0.76,0.34,0.82,0.7489410752292528,0.00625003229256791,0.00589077398330548,40,32,32,1.9908393191036873,3.368182613782474,3.412192253678059,9.908727104700173e-4,8.52451634732021e-4,8
Neutrophill_count,1,1,0.53,0.96,0.05,0.96,0.05,0.36,0.28,0.58,0.89,0.7886488506461935,0.00155415296201111,0.00124198459500281,40,13,10,1.9964767499881095,3.335168294500629,3.3076689868715996,0.0010668509200104,9.284403716891544e-4,8
Phosphate,0.99,0.99,0,0.2,0.35,0.2,0.35,0.95,0.99,0.82,0.85,0.7745794662231508,0.00480695335936891,0.00542947160541942,40,29,32,1.930552126540123,3.4676497079057387,3.419693025775423,7.459135132835115e-4,6.0745849639853e-4,7
Platelet_count,1,1,0,0.96,0.13,0.96,0.13,0.06,0.09,0.07,0.82,0.8631988945091845,0.00892715390572978,0.0082106002315032,40,37,38,1.9428104054552189,3.3234745256816134,3.326583256687286,0.00114693842328837,0.00100853897176111,8
Platelet_crit,1,1,0,0.75,0.92,0.75,0.92,0.18,0.21,0.41,0.11,0.7169726955208033,0.00603684553747625,0.00571522467149892,40,29,32,2.034700569066021,3.4407866509838305,3.4571693255752476,0.00112101159371778,9.82608549811248e-4,11
Pulse_rate_automated_reading,0.89,0.89,0.92,0,0,0,0,0.89,0.92,0.76,0.8,0.11423456002804826,0.00671017253275394,0.00639231635976349,40,34,34,2.620455667540176,3.351430311229173,3.3706988536050253,0.00104883282157592,9.104197766964806e-4,9
Red_blood_cell_erythrocyte_count,0.99,0.99,0.65,0.33,0.97,0.34,0.97,0.59,0.61,0.4,0.38,0.7204875049411216,0.00956614299657369,0.01081598873972206,40,37,38,2.01553949863765,3.277374898816696,3.3016046012808142,0.00156541538775464,0.00142707391971319,14
Red_blood_cell_erythrocyte_distribution_width,0.99,0.99,0.95,0.23,0,0.23,0,0.57,0.69,0.12,0.3,0.5230953390329656,0.00505168613680303,0.00448193952263849,40,28,29,2.034089539907589,3.190420068323286,3.159914675945924,0.00138808632332348,0.00124972028485592,7
Reticulocyte_count,1,1,0,0.93,0,0.93,0,0.18,0.18,0.56,0.47,0.8293026574860881,0.00632454376890851,0.00658885238204667,40,35,36,1.9503142627688024,3.3805861181275443,3.3569126343796687,6.384856472664488e-4,5.00015745351523e-4,4
Reticulocyte_percentage,1,1,0,0.38,0,0.39,0,0.92,0.93,0.86,0.69,0.7286417903960741,0.00328744120930989,0.00374366776905554,40,23,23,1.968274784672736,3.3114541847525643,3.334917434265316,6.673987941891604e-4,5.289328984328101e-4,9
SHBG,1,1,0,0.69,0.89,0.69,0.89,0,0,0,0,0.488056219668859,0.00257911813420622,0.00238901548968377,40,18,19,2.117599931500567,3.396230519690868,3.4203632708141756,8.131376002469926e-4,6.746918978219885e-4,6
Sitting_height,1,1,1,0.76,0.04,0.76,0.04,0.06,0.12,0.07,0.15,0.1408728067780091,0.00754129166749096,0.00809075253718425,40,29,32,2.6408836084435565,3.3022446765820193,3.3291760953353196,0.00278897907772302,0.00265080714467136,16
Speed_of_sound_through_heel,1,1,0.58,0.88,0.14,0.88,0.14,0.57,0.32,0.46,0.14,0.8777030887221001,0.00165790144198727,0.00227455551761381,40,8,12,1.995316331892855,3.470443699027905,3.481840088593957,0.00102408856863796,8.856720952351571e-4,12
Speed_of_sound_through_heel_left,0.6,0.56,0,0.25,0.18,0.26,0.18,0,0.04,0.14,0.82,0.25175388455351905,0.00305461161136644,0.00236171263125484,40,21,18,2.3168088088656553,3.3737052080340137,3.383925838321299,9.452552025218137e-4,8.068278060963108e-4,10
Speed_of_sound_through_heel_right,0.94,0.9,0.05,0.03,0.91,0.03,0.91,0.11,0.03,0.11,0.14,0.5726663958047343,0.00168024278030384,0.00208378422979506,40,12,15,2.0691534967054777,3.3418890211736274,3.389347933305392,9.139756079602396e-4,7.755438774851298e-4,8
Standing_height,1,1,0.45,0.98,0.08,0.98,0.08,0.05,0.16,0.16,0.29,0.7227771520091608,0.01246712935332222,0.01290547148508147,40,33,34,2.1080851706733537,3.080095148207674,3.1095053510169204,0.00610451066538859,0.00596679812698763,11
Systolic_blood_pressure_automated_reading,1,1,1,0.19,0.02,0.18,0.02,0.78,0.41,0.28,0.29,0.01114382428960352,0.00152559292841336,3.672383260804414e-4,40,13,2,3.413604590455966,3.381279832193381,3.395024006012318,9.006849359797073e-4,7.622513639707895e-4,10
Total_bilirubin,0.72,0.71,0.81,0.04,0,0.04,0,0.96,0.96,0.81,0.84,0.5141989784480414,5.191438510572256e-4,3.5565705533904894e-4,40,9,6,2.005690404402167,3.1999625602371022,3.1936969547267573,5.652506771060137e-4,4.267706278729966e-4,5
Total_protein,1,1,0.98,1,0.02,1,0.02,0.36,0.11,0.06,0,0.3870904007033875,0.00356832064343164,0.0049125929139585,40,29,34,2.082868557630812,3.421030062947765,3.393154698463468,6.903852416786577e-4,5.519225308868725e-4,6
Triglycerides,0.97,0.98,0.83,0.51,0.06,0.51,0.06,0.57,0.91,0.62,0.77,0.9387513034394436,0.01045583524175807,0.00963099766053171,40,35,34,1.9428229868936235,3.1779437612064574,3.155023656484929,0.00213823100518773,0.00199996890554421,9
Trunk_fat_free_mass,1,0.99,0.62,0.43,0.08,0.43,0.08,0.62,0.46,0.2,0.05,0.7163366830956518,0.00690549912230653,0.00690298147833138,40,26,27,2.0958317003344487,3.2578783242989986,3.302296523927252,0.00315077713978552,0.00301265533688344,16
Trunk_fat_mass,1,1,0,0.03,0.06,0.03,0.06,0.17,0.11,0.98,0.88,0.90307250328592,0.00337295122402904,0.00274183945207322,40,17,13,1.962857018936215,3.484350267203868,3.482755744837237,0.00141375977477538,0.0012753972935795,14
Trunk_fat_percentage,0.99,0.99,0.03,0,0.27,0,0.27,0.59,0.51,0.31,0.13,0.8730204395806104,0.0084199752345132,0.0073800938899485,40,31,28,1.9976002741650347,3.3502050302058644,3.2847271483121294,0.00269905449087182,0.00256087009801597,17
Trunk_predicted_mass,0.99,0.99,0.04,0.84,0.02,0.84,0.02,0.87,0.79,0.23,0.19,0.6456163618732638,0.00642448453380599,0.00628320525091065,40,25,24,2.1219982675442157,3.2750476998402003,3.3229017731954262,0.00293500001073205,0.00279684831010285,16
Urate,1,1,0,0.44,0.01,0.44,0.01,0.48,0.8,0.16,0.22,0.7153344263026563,0.00290734648009685,0.00335141835509346,40,21,23,1.9877969872402887,3.3626837260089837,3.379655687347555,5.928262269033638e-4,4.543499984936972e-4,5
Urea,0.98,0.93,0.94,0.77,0.59,0.77,0.59,0.22,0.52,0.02,0.04,0.7673049194142509,0.00133240494715908,9.085842505132832e-4,40,8,7,2.013709372688979,3.3979523386035533,3.360476203092591,0.00102992021713927,8.91504551760125e-4,8
Waist_circumference,0.98,0.97,0.45,0.67,0.35,0.67,0.35,0.39,0.13,0.44,0.44,0.9205979872634208,0.01119719387324746,0.01008111291431218,40,36,35,1.9594581145288152,3.3900612746172896,3.4161747522869224,0.00185012705921762,0.00171182504036115,11
Weight,1,1,0.35,0.01,0.13,0.01,0.13,0.04,0.02,0.27,0.36,0.928144045632749,0.00140258574249361,0.00111074833234192,40,7,7,1.986528048440794,3.449910051684375,3.4480783078210884,0.00161936451212573,0.00148103051918702,14
White_blood_cell_leukocyte_count,1,1,0.64,0.63,0.97,0.63,0.97,0.87,0.94,0.46,0.51,0.4365218791127808,0.00664864887894292,0.00638636444268808,40,32,32,2.1697722674842024,3.2618652790395677,3.3056140365249913,0.00156833550679738,0.00142999444336278,11
Whole_body_fat_free_mass,1,1,0,0.79,0.17,0.79,0.17,0.72,0.44,0.66,0.67,0.8183262479994166,0.00256671214204777,0.00282929112467603,40,11,14,2.032855108235732,3.3162489103937904,3.36009906545479,0.00271340628391022,0.0025752238796155,15
Whole_body_fat_mass,1,1,0,0.5,0.72,0.5,0.72,0.8,0.52,0.76,0.22,0.9449191554123886,0.00506867021134678,0.00460959930713565,40,23,21,1.9627423146499008,3.3369455629495435,3.362429918594939,0.00199167120923424,0.0018533888025044,15
Whole_body_water_mass,1,1,0,0.58,0.41,0.58,0.41,0.37,0.2,0.54,0.18,0.8691235049727714,0.00194779432088299,0.00180798904804087,40,13,12,2.0119480539194528,3.287870545338415,3.3170298103412743,0.00251658585635621,0.00237837618094394,15
